Indicator Name:,"Intentional homicide victims by sex, counts and rates per 100,000 population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator Definition:,Definitions: “Intentional Homicide” means unlawful death inflicted upon a person with the intent to cause death or serious injury. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total number of female/male victims of intentional homicide,,,,,,,,,,,,,,,,,,"Female/male victims of intentional homicide per 100,000 females/males",,,,,,,,,,,,,,,,
Africa,Western Africa,Guinea,GHD Estimate,Males,,,,,,,,,,,,,,,,836,,,,,,,,,,,,,,,,,,13.8,
Africa,Western Africa,GuineaBissau,GHD Estimate,Females,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,8.6,
Africa,Western Africa,GuineaBissau,GHD Estimate,Males,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,10.6,
Africa,Western Africa,Liberia,GHD Estimate,Females,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,1.4,,,,
Africa,Western Africa,Liberia,GHD Estimate,Males,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,5.1,,,,
Africa,Western Africa,Mali,GHD Estimate,Females,,,,,,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,5.1,
Africa,Western Africa,Mali,GHD Estimate,Males,,,,,,,,,,,,,,,,"1,459",,,,,,,,,,,,,,,,,,16.7,
Africa,Western Africa,Mauritania,GHD Estimate,Females,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,5.2,
Africa,Western Africa,Mauritania,GHD Estimate,Males,,,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,14.6,
Africa,Western Africa,Niger,GHD Estimate,Females,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,2,,,,
Africa,Western Africa,Niger,GHD Estimate,Males,,,,,,,,,,,,,615,,,,,,,,,,,,,,,,,,6.9,,,,
Africa,Western Africa,Nigeria,GHD Estimate,Females,,,,,,,,,,,,,,,,"4,441",,,,,,,,,,,,,,,,,,5,
Africa,Western Africa,Nigeria,GHD Estimate,Males,,,,,,,,,,,,,,,,"13,402",,,,,,,,,,,,,,,,,,14.6,
Africa,Western Africa,Senegal,GHD Estimate,Females,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,2.7,
Africa,Western Africa,Senegal,GHD Estimate,Males,,,,,,,,,,,,,,,,901,,,,,,,,,,,,,,,,,,12.3,
Africa,Western Africa,Sierra Leone,GHD Estimate,Females,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,0.8,
Africa,Western Africa,Sierra Leone,GHD Estimate,Males,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,2.7,
Africa,Western Africa,Togo,GHD Estimate,Females,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,3.2,
Africa,Western Africa,Togo,GHD Estimate,Males,,,,,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,14.9,
